Unit,2017_01,2017_01,2017_01,2017_01,2017_02,2017_02,2017_02,2017_02,2017_03,2017_03,2017_03,2017_03,2017_04,2017_04,2017_04,2017_04,2017_05,2017_05,2017_05,2017_05,2017_06,2017_06,2017_06,2017_06,2017_07,2017_07,2017_07,2017_07,2017_08,2017_08,2017_08,2017_08,2017_09,2017_09,2017_09,2017_09,2017_10,2017_10,2017_10,2017_10,2017_11,2017_11,2017_11,2017_11,2017_12,2017_12,2017_12,2017_12,Revenue
04,12.8853046594982,1014,152,381,13.6261682242991,1018,156,373,11.8964773544213,987,156,404,12.4082073434125,970,158,419,13.2473040977714,987,156,404,13.9315561959654,977,159,411,11.2240634005764,962,159,426,12.2225433526012,973,163,411,12.476397966594,989,170,388,13.7092352092352,1017,161,369,15.8784846318799,1020,148,379,14.5688793718772,999,146,402,117860000
05,11.0555216595485,1464,80,175,10.7237804878049,1453,79,187,11.0201342281879,1458,80,181,10.960951799878,1463,80,176,11.1653447223917,1470,80,169,11.3113735239279,1442,110,167,10.9465506525792,1449,110,160,10.6065879428216,1432,110,177,9.61347743165925,1229,146,344,10.8040786598689,1229,346,144,10.9213401310998,1206,346,167,10.7785870356883,1214,346,159,37500000
06,10.5704809286899,588,11,15,10.424543946932,585,11,18,10.424543946932,586,11,17,10.6882255389718,591,11,12,10.6158940397351,589,10,15,10.6788079470199,591,10,13,10.5331125827815,590,10,14,10.5215231788079,590,10,14,10.5198675496689,590,10,14,10.53,586,14,14,10.4466666666667,586,14,14,10.4655462184874,581,19,14,39640000
07,19.9816773112763,8985,2083,566,20.8517898262508,8990,2080,564,17.5716228942137,9019,2077,538,21.2113029827316,9035,2079,520,20.7530076367821,9032,2075,527,21.1724570950188,9036,2078,520,20.2818134445023,9061,2039,534,20.950628736343,9144,1932,558,20.1597506132461,9194,1850,590,20.4815003567424,9274,1823,537,21.7824050504022,9310,1813,511,20.2529507529508,9305,1806,523,1143440000
08,18.5747194329592,6335,719,437,18.2558105325096,6357,693,441,16.4157949020186,6330,704,457,18.3949381989406,6354,695,442,18.6944648362942,6393,680,418,17.9009219961949,6411,658,422,18.069794214995,6483,542,466,17.4663271080928,6569,423,499,18.0037531276063,6701,297,493,17.6860787576262,6724,279,488,18.8816995279089,6780,289,422,17.6826603982301,6775,259,457,824110000
09,15.8862959285005,1867,2096,147,14.5200992555831,1835,2095,180,13.1126550868486,1833,2095,182,16.848635235732,1879,2095,136,14.9196029776675,1892,2095,123,17.4129895884978,1903,2093,114,16.5270203272186,1920,2093,97,15.5463093559003,2019,1983,108,14.6372180451128,2011,1982,117,11.5060790273556,2032,1478,600,11.391563867887,2047,1597,466,12.0911261440509,2279,1597,234,291270000
10,18.1997794928335,4207,443,328,16.9740374037404,4205,433,340,15.3954715322049,4206,429,343,17.2621763931549,4242,420,316,16.7869175235178,4256,407,315,17.2132722113076,4287,397,294,17.3505132124918,4279,399,300,16.4977890082123,4364,229,385,16.8066845471426,4461,131,386,16.7580445544554,4494,130,354,18.0039126853377,4512,122,344,16.9235839340886,4511,123,344,546920000
11,16.2304280328232,4137,315,372,17.2524961171511,4240,317,267,16.0353962600178,4240,332,252,17.4661654135338,4260,302,262,16.7764290443611,4292,293,239,17.3470198675497,4292,294,238,17.0651214128035,4290,294,240,17.0130293159609,4378,219,227,16.9430107526882,4438,174,212,16.6804167552626,4461,121,242,17.5751967666454,4455,123,246,17.0581841432225,4465,132,227,527080000
12,17.1037327283976,4387,2054,462,16.7256034660615,4399,2056,448,16.0130138401157,4441,2062,400,17.2290249433107,4481,2052,370,16.5383347073372,4474,2051,378,17.305081300813,4531,1983,389,17.6500298270034,4657,1874,372,15.4607732732733,4850,1575,478,17.1021585411239,4941,1529,433,16.5858912224017,5082,1332,489,17.4048214285714,5120,1303,480,16.2367063844923,5193,1280,430,668580000
13,20.4203192297948,11011,3049,830,20.0722049035302,11077,3021,792,18.7607707842477,11046,3006,838,20.4237003443353,11147,2983,760,20.0513379750021,11096,2969,825,20.063051290428,11377,2646,867,19.7256544502618,11625,2475,790,18.517771652401,12923,1104,863,19.1356409885822,13003,1052,835,19.2743451740222,13126,955,809,20.0339371375385,13085,923,882,18.8659138017297,13025,899,966,1580550000
14,13.8258127122756,1805,124,256,11.5661657779932,1815,122,248,12.6336477987421,1748,277,160,14.1105870020964,1757,277,151,12.4960753532182,1753,274,158,14.5023547880691,1770,274,141,14.419689119171,1811,255,119,13.3331655762456,1844,198,143,12.9547938400397,1869,172,144,13.2933333333333,1892,160,133,14.758024691358,1918,160,107,13.6992555831266,1905,170,110,226350000
15,16.1564102564103,1471,666,89,14.6814102564103,1478,666,82,13.2547649301144,1495,652,79,15.7558655675333,1498,649,79,15.70703868104,1500,649,77,16.5497780596068,1503,649,74,16.1466498103666,1506,644,76,15.2593037214886,1575,560,91,14.9468768242849,1612,513,101,15.3998832457677,1621,513,92,16.7011091652072,1628,513,85,15.5165409170052,1632,503,91,211240000
16,14.9810549777117,2416,261,276,14.1768202080238,2395,261,297,13.1706948640483,2376,305,272,15.0891238670695,2389,305,259,14.8984580669425,2409,294,250,14.6912425149701,2409,281,263,14.9262724550898,2408,281,264,14.6795058139535,2516,201,236,15.0069090909091,2498,203,252,15.6370938298649,2521,214,218,16.7606402328119,2546,204,203,15.4043557168784,2547,198,208,305610000
17,17.9854191980559,3819,763,296,18.5905224787363,3844,763,271,17.6140947752126,3849,763,266,19.8106925880923,3835,763,280,19.5235792019347,3854,743,281,19.9591293833132,3864,743,271,19.1902804642166,3838,742,298,18.5964467005076,3997,544,337,18.0680089485459,4120,408,350,18.2853095030514,4253,290,335,19.4378814298169,4275,290,313,18.2707301313806,4300,235,343,529280000
18,17.0670003850597,2396,310,201,16.6316397228637,2388,309,210,14.4572419106317,2364,311,232,18.2819722650231,2400,311,196,16.7937668333975,2389,308,210,15.3837298541827,2413,301,193,15.4426543920215,2397,300,210,16.0587355031799,2443,234,230,16.7989536621824,2483,231,193,17.0096798212956,2495,221,191,18.078869047619,2504,219,184,17.163272861903,2495,206,206,307390000
19,15.920365535248,2840,524,224,15.6508817766166,2856,526,206,14.7012609117362,2844,495,249,17.3985788113695,2901,492,195,14.8986769925783,2876,489,223,16.5754352030948,2917,486,185,15.9937185929648,3011,404,173,15.112037037037,3005,348,235,16.2013402375876,3060,305,223,16.9159049360146,3033,306,249,17.7044485070079,3051,306,231,16.1464231354642,3066,303,219,382010000
20,17.8582428430405,4757,881,308,18.1696587098047,4762,877,307,16.3248482475034,4800,839,307,17.9652615144418,4812,822,312,17.335605765485,4837,812,297,18.0961240310078,4848,786,312,17.847480620155,4849,786,311,17.0238538948938,5020,580,346,17.7417230656667,5108,479,359,17.7042047531993,5134,476,336,17.9309528147204,5142,457,347,17.557877521352,5166,443,337,638820000
21,16.7460901563937,990,404,97,16.6344505066251,1150,208,133,14.3640588690937,1166,200,125,17.2525174283501,1169,200,122,16.7863777089783,1174,199,118,19.9084315503173,1002,388,101,18.4149226569609,1006,392,93,18.9072790294627,1052,337,102,18.191637630662,1037,343,111,18.6114982578397,1016,343,132,19.7927272727273,999,391,101,18.2872727272727,983,391,117,137340000
22,14.274879763226,2321,325,382,12.8592071137458,1963,329,736,11.8929233049278,1965,329,734,13.0344572063727,1997,329,702,13.4905520563172,2019,329,680,13.7779422649889,2056,326,646,13.3967431532198,2085,326,617,13.569880823402,2086,259,683,14.7428998505232,2138,352,538,14.7058823529412,2143,308,577,15.9347745061498,2167,345,516,16.4661269706008,2060,681,287,259010000
23,15.9879261363636,3683,274,541,15.5887210948561,3684,260,554,13.7923948984412,3637,264,597,15.4985849056604,3653,258,587,15.3380514272234,3659,259,580,15.9305064782097,3659,253,586,14.2724917569477,3642,252,604,15.6821885913853,3702,203,593,14.6050925925926,3755,178,565,15.953337953338,3803,169,526,15.5111880046136,3794,163,541,15.6603773584906,3758,152,588,451890000
24,14.6508120649652,846,330,16,14.5278422273782,840,330,22,13.2354988399072,845,330,17,16.0986078886311,848,330,14,14.4686774941995,842,330,20,16.0197215777262,851,330,11,16.4199535962877,849,330,13,17.6614699331849,883,294,15,9.01670378619154,876,294,22,11.1504237288136,919,248,25,11.2425847457627,849,248,95,9.83792372881356,856,248,88,108060000
25,13.6831969186326,1799,451,278,14.8661531054405,1829,451,248,13.6731963688485,1848,435,245,15.0075223319229,1874,401,253,15.0737435415688,1880,399,249,15.5430711610487,1890,392,246,15.3333333333333,1915,398,215,15.8278084714549,1939,356,233,14.6325932132384,2110,141,277,14.9200333194502,2106,127,295,16.3862785862786,2202,123,203,15.4565488565489,2282,123,123,259030000
26,11.9196042053185,1483,27,134,12.1440940012369,1492,27,125,10.2665429808287,1485,27,132,11.4663341645885,1496,40,108,11.725,1501,44,99,11.809375,1502,44,98,12.9175,1510,44,90,11.5212831585441,1536,23,85,12.4194941394201,1542,23,79,13.7735965453424,1582,23,39,15.4959901295497,1586,23,35,14.0222222222222,1587,24,33,185360000
01,16.1731962582199,8761,565,2036,16.104393541119,8746,710,1906,15.224147781375,8637,860,1865,15.217507390102,8577,875,1910,15.3731514168495,8541,881,1940,17.0576555937381,8588,886,1888,14.9336447707122,8587,873,1902,15.3099005210801,8665,807,1890,15.8386488016607,8719,764,1879,15.6563706563707,8699,743,1920,16.2962858486131,8707,727,1928,15.6149144254279,8655,728,1979,783579543
02,18.7853807883659,11791,463,1274,18.8591441475924,11844,465,1219,17.8623076923077,11815,528,1185,18.8690705004997,11750,521,1257,18.8635035373731,11767,524,1237,20.7305177321332,11803,529,1196,18.0592718035563,11857,537,1134,18.2595332519829,11936,416,1176,19.5267448948491,12017,404,1107,19.1948585336173,11988,380,1160,19.7542978852883,11997,382,1149,19.1232220278391,11921,381,1226,986683788
03,16.0086642599278,6917,595,1393,16.0185743577373,6875,614,1416,15.32407631007,6863,623,1419,15.3470325154116,6804,632,1469,15.0473601546454,6828,628,1449,16.9079296215956,6906,607,1392,13.5614417029511,6793,637,1475,15.3705389221557,6885,555,1465,16.2499101473583,7020,558,1327,15.5271420011983,7034,560,1311,16.5895933014354,7111,545,1249,15.0413134328358,7051,530,1324,566825292
04,14.7795163584637,1010,141,396,13.9800853485064,990,141,416,12.3554131054131,969,143,435,14.0805991440799,963,145,439,13.431931575196,942,144,461,13.6150537634409,962,152,433,12.0848310567937,965,156,426,13.1760916249105,982,150,415,13.9800995024876,999,140,408,13.5082201572552,1004,148,395,15.0409777138749,996,156,395,14.2598992080634,1004,158,385,85353871
05,15.7126811594203,2542,193,218,14.9818709209572,2521,195,237,13.9590579710145,2499,193,261,15.398764085787,2519,202,232,15.1150217706821,2509,197,247,16.3186256781194,2534,188,231,15.6183924692252,2527,191,235,15.2902767920511,2554,135,264,15.8617511520737,2562,132,259,15.9004252303331,2586,131,236,16.8481415929204,2602,128,223,17.0744530698659,2606,119,228,241831188
